date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
02/05/2014 0:00,313000.0,3,1.5,1340.0,14859.809856083733,1.5,0,0,3,1340,0,1955.0,2005,18810 Densmore Ave N,Shoreline,WA 98133,USA
02/05/2014 0:00,2384000.0,5,2.5,3650.0,14859.809856083733,2.0,0,4,5,3370,280,1921.0,0,709 W Blaine St,Seattle,WA 98119,USA
02/05/2014 0:00,342000.0,3,2.0,1930.0,14859.809856083733,1.0,0,0,4,1930,0,1966.0,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA
02/05/2014 0:00,420000.0,3,2.25,2000.0,14859.809856083733,1.0,0,0,4,1000,1000,1963.0,0,857 170th Pl NE,Bellevue,WA 98008,USA
02/05/2014 0:00,550000.0,4,2.5,1940.0,14859.809856083733,1.0,0,0,4,1140,800,1976.0,1992,9105 170th Ave NE,Redmond,WA 98052,USA
02/05/2014 0:00,490000.0,2,1.0,880.0,14859.809856083733,1.0,0,0,3,880,0,1938.0,1994,522 NE 88th St,Seattle,WA 98115,USA
02/05/2014 0:00,335000.0,2,2.0,1350.0,14859.809856083733,1.0,0,0,3,1350,0,1976.0,0,2616 174th Ave NE,Redmond,WA 98052,USA
02/05/2014 0:00,482000.0,4,2.5,2710.0,14859.809856083733,2.0,0,0,3,2710,0,1989.0,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA
02/05/2014 0:00,10000000.0,3,2.5,2430.0,14859.809856083733,1.0,0,0,4,1570,860,1985.0,0,46611-46625 SE 129th St,North Bend,WA 98045,USA
02/05/2014 0:00,640000.0,4,2.0,1520.0,14859.809856083733,1.5,0,0,3,1520,0,1945.0,2010,6811 55th Ave NE,Seattle,WA 98115,USA
02/05/2014 0:00,463000.0,3,1.75,1710.0,14859.809856083733,1.0,0,0,3,1710,0,1948.0,1994,Burke-Gilman Trail,Seattle,WA 98155,USA
02/05/2014 0:00,1400000.0,4,2.5,2920.0,14859.809856083733,1.5,0,0,5,1910,1010,1909.0,1988,3838-4098 44th Ave NE,Seattle,WA 98105,USA
02/05/2014 0:00,588500.0,3,1.75,2330.0,14859.809856083733,1.0,0,0,3,1970,360,1980.0,0,1833 220th Pl NE,Seattle,WA 98074,USA
02/05/2014 0:00,365000.0,3,1.0,1090.0,14859.809856083733,1.0,0,0,4,1090,0,1955.0,2009,2504 SW Portland Ct,Seattle,WA 98106,USA
02/05/2014 0:00,1200000.0,5,2.75,2910.0,9480.0,1.5,0,0,3,2910,0,1939.0,1969,3534 46th Ave NE,Seattle,WA 98105,USA
02/05/2014 0:00,242500.0,3,1.5,1200.0,9720.0,1.0,0,0,4,1200,0,1965.0,0,14034 SE 201st St,Seattle,WA 98042,USA
02/05/2014 0:00,419000.0,3,1.5,1570.0,6700.0,1.0,0,0,4,1570,0,1956.0,0,15424 SE 9th St,Seattle,WA 98007,USA
02/05/2014 0:00,367500.0,4,3.0,3110.0,7231.0,2.0,0,0,3,3110,0,1997.0,0,11224 SE 306th Pl,Seattle,WA 98092,USA
02/05/2014 0:00,257950.0,3,1.75,1370.0,15878.0,1.0,0,0,3,1370,0,1987.0,2000,1605 S 245th Pl,Seattle,WA 98198,USA
02/05/2014 0:00,275000.0,3,1.5,1180.0,10277.0,1.0,0,0,3,1180,0,1983.0,2009,12425 415th Ave SE,Seattle,WA 98045,USA
02/05/2014 0:00,750000.0,3,1.75,2240.0,10578.0,2.0,0,0,5,1550,690,1923.0,0,3225 NE 92nd St,Seattle,WA 98115,USA
02/05/2014 0:00,20000.0,4,1.0,1450.0,8800.0,1.0,0,0,4,1450,0,1954.0,1979,3922 154th Ave SE,Seattle,WA 98006,USA
02/05/2014 0:00,626000.0,3,2.25,1750.0,1572.0,2.5,0,0,3,1470,280,2005.0,0,3140 Franklin Ave E,Seattle,WA 98102,USA
02/05/2014 0:00,612500.0,4,2.5,2730.0,12261.0,2.0,0,0,3,2730,0,1991.0,0,10212 NE 156th Pl,Seattle,WA 98011,USA
02/05/2014 0:00,495000.0,4,1.75,2138.9355263157895,6380.0,1.0,0,0,3,1130,470,1959.0,1989,2021 NE 100th St,Seattle,WA 98125,USA
02/05/2014 0:00,285000.0,3,2.5,2138.9355263157895,10834.0,1.0,0,0,4,1360,730,1987.0,0,27736 23rd Avenue South,Seattle,WA 98003,USA
02/05/2014 0:00,615000.0,3,1.75,2138.9355263157895,7291.0,1.0,0,0,4,1360,1000,1948.0,0,8436-8438 41st Ave SW,Seattle,WA 98136,USA
02/05/2014 0:00,698000.0,4,2.25,2138.9355263157895,11250.0,1.5,0,0,5,1300,900,1920.0,0,1036 4th St,Seattle,WA 98033,USA
02/05/2014 0:00,675000.0,5,2.5,2138.9355263157895,67518.0,2.0,0,0,3,2820,0,1979.0,2014,23525 SE 32nd Way,Seattle,WA 98029,USA
02/05/2014 0:00,790000.0,3,2.5,2138.9355263157895,4750.0,1.0,0,0,4,1700,900,1951.0,1999,3314 NW 75th St,Seattle,WA 98117,USA
02/05/2014 0:00,382500.0,4,1.75,2138.9355263157895,8700.0,1.0,0,0,4,1560,0,1967.0,0,14104 119th Ave NE,Seattle,WA 98034,USA
02/05/2014 0:00,499950.0,4,2.5,2138.9355263157895,3345.0,2.0,0,0,3,2190,670,2004.0,2003,20120 137th Ave NE,Seattle,WA 98072,USA
02/05/2014 0:00,650000.0,4,2.0,2138.9355263157895,5000.0,1.5,0,1,3,1640,180,1945.0,2010,7201-7399 55th Ave NE,Seattle,WA 98115,USA
02/05/2014 0:00,625000.0,4,2.5,2138.9355263157895,8408.0,2.0,0,0,3,2820,0,2014.0,0,17052 4th Ave NE,Seattle,WA 98155,USA
02/05/2014 0:00,400000.0,4,2.5,2138.9355263157895,42884.0,1.5,0,0,3,2300,1330,1979.0,2014,5172-5198 Heather Ave SE,Seattle,WA 98092,USA
02/05/2014 0:00,604000.0,3,2.5,2138.9355263157895,33151.0,2.0,0,2,3,3240,0,1995.0,0,30822 36th Ct SW,Seattle,WA 98023,USA
02/05/2014 0:00,440000.0,2,1.0,2138.9355263157895,4850.0,1.0,0,0,4,800,0,1944.0,0,4801-4899 6th Ave NW,Seattle,WA 98107,USA
02/05/2014 0:00,287200.0,3,3.0,2138.9355263157895,19966.0,1.0,0,0,4,1090,760,1992.0,0,23017 SE 281st Ct,Seattle,WA 98038,USA
02/05/2014 0:00,403000.0,3,2.0,2138.9355263157895,13100.0,1.0,0,2,5,1650,310,1957.0,0,17825 4th Ave SW,Seattle,WA 98166,USA
02/05/2014 0:00,750000.0,3,2.5,2138.9355263157895,6550.0,1.0,0,2,4,1440,950,1955.0,2009,3628 59th Ave SW,Seattle,WA 98116,USA
02/05/2014 0:00,335000.0,3,2.25,2138.9355263157895,16215.0,1.0,0,0,4,1580,0,1978.0,2000,4460 332nd Ave SE,Seattle,WA 98024,USA
02/05/2014 0:00,260000.0,4,2.0,2138.9355263157895,8625.0,1.0,0,0,4,1480,0,1974.0,0,2019 Aberdeen Pl SE,Seattle,WA 98055,USA
02/05/2014 0:00,308500.0,2,1.0,2138.9355263157895,6174.0,1.0,0,0,4,850,0,1950.0,1983,121 NE 147th St,Seattle,WA 98155,USA
02/05/2014 0:00,439950.0,3,2.5,2138.9355263157895,2875.0,2.0,0,0,3,1770,0,1990.0,2009,4458 51st Ave SW,Seattle,WA 98116,USA
02/05/2014 0:00,235000.0,2,1.0,2138.9355263157895,9400.0,1.0,0,0,2,1210,0,1949.0,0,7542 21st Ave SW,Seattle,WA 98106,USA
02/05/2014 0:00,315000.0,3,1.0,2138.9355263157895,9180.0,1.0,0,0,3,1160,0,1968.0,1997,15804 198th Pl NE,Seattle,WA 98077,USA
02/05/2014 0:00,437500.0,3,2.25,2138.9355263157895,35100.0,2.0,0,0,4,1970,0,1977.0,0,26069 SE 154th St,Seattle,WA 98027,USA
02/05/2014 0:00,407500.0,3,2.5,2138.9355263157895,10460.0,2.0,0,0,3,1930,0,1996.0,0,4314 NE 6th Pl,Seattle,WA 98059,USA
02/05/2014 0:00,445700.0,3,2.5,2138.9355263157895,1180.0,3.0,0,0,3,1270,0,2001.0,0,2640 NW 56th St,Seattle,WA 98107,USA
02/05/2014 0:00,838000.0,4,2.5,2138.9355263157895,42998.0,2.0,0,0,3,3310,0,2001.0,0,15712 NE 136th Pl,Seattle,WA 98052,USA
